indextype,n_samples,time,pool,n_hashes
64,100000,0.428,1.536,20
32,100000,0.434,4.5,20
16,100000,0.629,1266.823,20
8,100000,13.017,25669.988,20
64,100000,1.117,2.725,50
32,100000,1.185,10.509,50
16,100000,1.475,2889.313,50
8,100000,27.867,48795.42,50
64,100000,2.552,5.066,100
32,100000,2.453,13.487,100
16,100000,2.714,4986.973,100
8,100000,49.061,70535.87,100
64,200000,0.023,0.173,1
32,200000,0.023,0.16,1
16,200000,0.059,130.147,1
8,200000,1.361,2894.929,1
64,200000,0.044,0.196,2
32,200000,0.057,1.365,2
16,200000,0.145,279.101,2
8,200000,3.032,6367.685,2
64,200000,0.159,0.732,5
32,200000,0.135,1.546,5
16,200000,0.343,717.628,5
8,200000,7.689,15465.944,5
64,200000,0.275,1.22,10
32,200000,0.268,2.628,10
16,200000,0.643,1348.912,10
8,200000,13.472,27996.732,10
64,200000,0.61,3.066,20
32,200000,0.61,8.503,20
16,200000,1.258,2597.434,20
8,200000,25.547,50686.293,20
64,200000,2.046,5.925,50
32,200000,1.647,18.697,50
16,200000,2.916,5838.781,50
8,200000,56.377,98968.95,50
64,200000,3.384,13.342,100
32,200000,3.359,37.83,100
16,200000,5.506,10398.479,100
8,200000,95.844,139980.13,100
